Plugin Memory Usage Log
-----------------------
[alpha-nvim] Memory: 8094.46 KB
[LuaSnip] Memory: 8094.68 KB
[rustaceanvim] Memory: 8094.90 KB
[mini.icons] Memory: 8095.12 KB
[nvim-lspconfig] Memory: 8095.34 KB
[nvim-notify] Memory: 8095.98 KB
[cmp_luasnip] Memory: 8096.20 KB
[mason-lspconfig.nvim] Memory: 8097.33 KB
[lazy.nvim] Memory: 8098.18 KB
[friendly-snippets] Memory: 8098.40 KB
[nvim-lint] Memory: 8098.63 KB
[nvim-cmp] Memory: 8098.84 KB
[mason.nvim] Memory: 8099.06 KB
[vim-vsnip-integ] Memory: 8099.29 KB
[neo-tree.nvim] Memory: 8099.51 KB
[telescope.nvim] Memory: 8099.74 KB
[nvim-nio] Memory: 8099.96 KB
[nvim-dap-ui] Memory: 8100.18 KB
[conform.nvim] Memory: 8100.40 KB
[lualine.nvim] Memory: 8100.63 KB
[vim-vsnip] Memory: 8100.85 KB
[nvim-web-devicons] Memory: 8101.07 KB
[nvim-dap] Memory: 8101.29 KB
[plenary.nvim] Memory: 8101.51 KB
[nui.nvim] Memory: 8101.74 KB
[telescope-ui-select.nvim] Memory: 8101.95 KB
[tokyonight.nvim] Memory: 8102.19 KB
[noice.nvim] Memory: 8102.42 KB
[nvim-treesitter] Memory: 8102.64 KB
[cmp-nvim-lsp] Memory: 8102.86 KB
